productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extLinkRating,extLinkArrows
637080,Effect Veiler,Effect Veiler,https://tcgplayer-cdn.tcgplayer.com/product/637080_200w.jpg,2,24351,https://cpt.tcgcsv.com/DR67,2025-06-09T16:56:59.767,0,25YC-EN002,Ultra Rare,LIGHT,Spellcaster,Tuner/Effect Monster,0,0,"During your opponent's Main Phase (Quick Effect): You can send this card from your hand to the GY, then target 1 Effect Monster your opponent controls; negate the effects of that face-up monster your opponent controls, until the end of this turn.",800.0,800.0,800.0,,,Limited,,
637081,Card Trooper,Card Trooper,https://tcgplayer-cdn.tcgplayer.com/product/637081_200w.jpg,2,24351,https://cpt.tcgcsv.com/FR67,2025-06-09T16:56:59.99,0,25YC-EN003,Super Rare,EARTH,Machine,Effect Monster,400,400,"Once per turn: You can choose a number from 1 to 3, then send that many cards from the top of your Deck to the GY; this card gains 500 ATK for each card sent to the GY this way, until the end of this turn. If this card you control is destroyed and sent to your GY: Draw 1 card.",330.0,330.0,330.0,,,Limited,,
637082,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/637082_200w.jpg,2,24351,https://cpt.tcgcsv.com/GR67,2025-06-09T16:57:00.077,0,25YC-ENP01,Rare,LIGHT,Dragon,Normal Monster,3000,2500,"<em>This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.</em>",,,,,,,,
637083,Cyber Dragon,Cyber Dragon,https://tcgplayer-cdn.tcgplayer.com/product/637083_200w.jpg,2,24351,https://cpt.tcgcsv.com/HR67,2025-06-09T16:57:00.16,0,25YC-ENP02,Rare,LIGHT,Machine,Effect Monster,2100,1600,"If only your opponent controls a monster, you can Special Summon this card (from your hand).",350.0,350.0,350.0,,,Limited,,
637084,Blackwing - Gale the Whirlwind,Blackwing Gale the Whirlwind,https://tcgplayer-cdn.tcgplayer.com/product/637084_200w.jpg,2,24351,https://cpt.tcgcsv.com/JR67,2025-06-09T16:57:00.257,0,25YC-ENP03,Rare,DARK,Winged Beast,Tuner/Effect Monster,1300,400,"If you control a ""Blackwing"" monster other than ""Blackwing - Gale the Whirlwind"", you can Special Summon this card (from your hand). Once per turn: You can target 1 face-up monster your opponent controls; that target's ATK/DEF become half its current ATK/DEF.",699.0,699.0,699.0,220.0,,Limited,,
637085,Gagaga Magician,Gagaga Magician,https://tcgplayer-cdn.tcgplayer.com/product/637085_200w.jpg,2,24351,https://cpt.tcgcsv.com/KR67,2025-06-09T16:57:00.343,0,25YC-ENP04,Rare,DARK,Spellcaster,Effect Monster,1500,1000,"Cannot be used as Synchro Material. You can only control 1 ""Gagaga Magician"". Once per turn: You can declare a Level from 1 to 8; this card becomes that Level until the end of this turn.",,,,,,,,
637086,"Dante, Traveler of the Burning Abyss",Dante Traveler of the Burning Abyss,https://tcgplayer-cdn.tcgplayer.com/product/637086_200w.jpg,2,24351,https://cpt.tcgcsv.com/LR67,2025-06-09T16:57:00.43,0,25YC-ENP05,Rare,LIGHT,Warrior,Xyz/Effect Monster,1000,2500,"2 Level 3 monsters<br>Once per turn: You can detach 1 material from this card and choose a number from 1 to 3, then send that many cards from the top of your Deck to the GY; until the end of this turn, this card gains 500 ATK for each card sent to the GY this way. If this card attacks, it is changed to Defense Position at the end of the Battle Phase. If this card is sent to the GY: You can target 1 ""Burning Abyss"" card in your GY, except this card; add it to your hand.",,,,,,,,
637087,D/D/D Wave High King Caesar,D D D Wave High King Caesar,https://tcgplayer-cdn.tcgplayer.com/product/637087_200w.jpg,2,24351,https://cpt.tcgcsv.com/MR67,2025-06-09T16:57:00.523,0,25YC-ENP06,Rare,WATER,Fiend,Xyz/Effect Monster,2800,1800,"2 Level 6 Fiend monsters<br />When a Spell/Trap Card, or monster effect, is activated that includes an effect that Special Summons a monster(s) (Quick Effect): You can detach 1 material from this card; negate the activation, and if you do, destroy that card, then you can make 1 other ""D/D"" monster you control and this card gain 1800 ATK until the end of this turn. If this card is sent from the field to the GY: You can add 1 ""Dark Contract"" card from your Deck to your hand.",199.96,199.97,200.0,,,Limited,,
637088,The Arrival Cyberse @Ignister,The Arrival Cyberse Ignister,https://tcgplayer-cdn.tcgplayer.com/product/637088_200w.jpg,2,24351,https://cpt.tcgcsv.com/NR67,2025-06-09T16:57:00.837,0,25YC-ENP07,Rare,DARK,Cyberse,Link/Effect Monster,0,,"3+ monsters with different Attributes<br>You can only control 1 ""The Arrival Cyberse @Ignister"". The original ATK of this card becomes 1000 x the number of materials used for its Link Summon. Unaffected by other cards' effects. Once per turn: You can target 1 other monster on the field; destroy it, and if you do, Special Summon 1 ""@Ignister Token"" (Cyberse/DARK/Level 1/ATK 0/DEF 0) to your zone this card points to.",119.15,119.15,119.15,,,Limited,6,Right;Left;Top-Right;Bottom-Left;Bottom;Bottom-Right
637089,Charge of the Light Brigade,Charge of the Light Brigade,https://tcgplayer-cdn.tcgplayer.com/product/637089_200w.jpg,2,24351,https://cpt.tcgcsv.com/PR67,2025-06-09T16:57:01.143,0,25YC-ENP08,Rare,SPELL,,Normal Spell,,,"Send the top 3 cards of your Deck to the GY; add 1 Level 4 or lower ""Lightsworn"" monster from your Deck to your hand.",,,,,,,,
