productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
23328,Theinen the Great Sphinx,Theinen the Great Sphinx,https://tcgplayer-cdn.tcgplayer.com/product/23328_200w.jpg,2,357,https://cpt.tcgcsv.com/Blc,2024-07-31T18:04:22.277,1,EP1-EN001,Ultra Rare,LIGHT,Beast,Effect Monster,3500,3000,"Effect: This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by paying 500 life points when both ""Andro Sphinx"" and ""Sphinx Teleia"" on your side of the field are destroyed at the same time, then you can Special Summon this monster from your hand or Deck. When this card is Special Summoned successfully, pay 500 Life Points to increase the ATK of this card by 3000 points until the end of the End Phase.",0.04,0.5,15.41,0.49,,Limited
23329,Andro Sphinx,Andro Sphinx,https://tcgplayer-cdn.tcgplayer.com/product/23329_200w.jpg,2,357,https://cpt.tcgcsv.com/Clc,2024-07-31T18:00:43.867,1,EP1-EN002,Ultra Rare,LIGHT,Beast,Effect Monster,3000,2500,"Effect: You can pay 500 Life Points to Special Summon this card when ""Pyramid of Light"" is on the field. This card cannot attack during the turn that it is Normal Summoned or Special Summoned. This card cannot be Special Summoned from the Graveyard. If this card destroys a Defense Position monster as a result of battle, inflict damage to your opponent's Life Points equal to half of the ATK of the destroyed monster.",0.05,0.49,3.74,0.46,,Unlimited
23330,Sphinx Teleia,Sphinx Teleia,https://tcgplayer-cdn.tcgplayer.com/product/23330_200w.jpg,2,357,https://cpt.tcgcsv.com/Dlc,2024-07-31T18:04:13.353,1,EP1-EN003,Ultra Rare,LIGHT,Beast,Effect Monster,2500,3000,"Effect: You can pay 500 Life Points to Special Summon this card when ""Pyramid of Light"" is on the field. This card cannot attack during the turn that it is Normal Summoned or Special Summoned. This card cannot be Special Summoned from the Graveyard. If this card destroys a Defense Position monster as a result of battle, inflict damage to your opponent's Life Points equal to half of the DEF of the destroyed monster.",0.05,0.49,5.01,0.5,,Limited
23331,Rare Metal Dragon,Rare Metal Dragon,https://tcgplayer-cdn.tcgplayer.com/product/23331_200w.jpg,2,357,https://cpt.tcgcsv.com/Flc,2024-07-31T18:03:53.337,1,EP1-EN004,Common,DARK,Dragon,Effect Monster,2400,1200,Effect: This card cannot be Normal Summoned or Set.,0.02,0.34,7.2,0.45,,Limited
23332,Peten the Dark Clown,Peten the Dark Clown,https://tcgplayer-cdn.tcgplayer.com/product/23332_200w.jpg,2,357,https://cpt.tcgcsv.com/Glc,2024-07-31T18:02:28.13,1,EP1-EN005,Common,DARK,Spellcaster,Effect Monster,500,1200,"Effect: When this card is sent to your Graveyard, you can remove this card from the Graveyard to Special Summon 1 ""Peten the Dark Clown"" from your hand or Deck.",0.1,0.3,7.8,0.35,,Limited
23333,Familiar Knight,Familiar Knight,https://tcgplayer-cdn.tcgplayer.com/product/23333_200w.jpg,2,357,https://cpt.tcgcsv.com/Hlc,2024-07-31T18:01:57.85,1,EP1-EN006,Common,DARK,Warrior,Effect Monster,1200,1400,"Effect: When this card is destroyed and sent to the Graveyard as a result of battle, each player can Special Summon 1 Level 4 monster from their hand.",0.04,0.25,6.55,0.27,,Limited
23334,Inferno Tempest,Inferno Tempest,https://tcgplayer-cdn.tcgplayer.com/product/23334_200w.jpg,2,357,https://cpt.tcgcsv.com/Jlc,2024-07-31T18:02:09.107,1,EP1-EN007,Common,SPELL,,Normal Spell,0,0,"Effect: When you take 3000 or more Battle Damage from 1 attack, you can activate this card. Remove all monster in each players deck and graveyard from play.",0.01,0.69,10.8,0.6,,Limited
23335,Return from the Different Dimension,Return from the Different Dimension,https://tcgplayer-cdn.tcgplayer.com/product/23335_200w.jpg,2,357,https://cpt.tcgcsv.com/Klc,2024-07-31T18:04:04.187,1,EP1-EN008,Common,TRAP,,Normal Trap,0,0,"Effect: Pay half of your Life Points. Special Summon as many of your monsters as possible that have been removed from play on your side of the field. During the End Phase, remove from play all monsters that were Special Summoned by this effect.",0.58,1.36,5.4,1.45,,Limited
26600,Card of Sanctity (Kids WB Duel of Destiny Promo),Card of Sanctity Kids WB Duel of Destiny Promo,https://tcgplayer-cdn.tcgplayer.com/product/26600_200w.jpg,2,357,https://cpt.tcgcsv.com/0Gd,2019-02-12T21:52:39.173,1,EP1-EN000,Common,SPELL,,Normal Spell,,,Remove all cards in your hand and on your side of the field from play. Draw cards until you have 2 cards in your hand.,,,,,,
79677,Movie Exclusive Booster Pack,Movie Exclusive Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/79677_200w.jpg,2,357,https://cpt.tcgcsv.com/zTF,2014-02-19T21:39:12.74,1,,,,,,,,,14.98,15.35,20.0,15.37,,Normal
79678,Movie Exclusive Booster Box,Movie Exclusive Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/79678_200w.jpg,2,357,https://cpt.tcgcsv.com/BTF,2014-02-19T20:40:08.487,0,,,,,,,,,174.99,224.99,263.94,,,Normal
79682,Movie Exclusive Booster Case,Movie Exclusive Booster Case,https://tcgplayer-cdn.tcgplayer.com/product/79682_200w.jpg,2,357,https://cpt.tcgcsv.com/GTF,2020-08-25T20:36:52.827,0,,,,,,,,,,,,,,
