groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
24303,Carrying On His Will,OP13,False,2025-11-07T00:00:00,2025-09-19T20:13:02.883,68
24306,Learn Together Deck Set,LT-01,False,2025-10-03T00:00:00,2025-10-01T21:26:30.883,68
24305,Premium Booster -The Best- Vol. 2,PRB-02,False,2025-10-03T00:00:00,2025-10-03T13:52:30.29,68
24304,Starter Deck 22: Ace & Newgate,ST-22,False,2025-09-05T00:00:00,2025-08-22T14:25:40.263,68
24302,Legacy of the Master,OP12,False,2025-08-22T00:00:00,2025-09-03T14:56:59.63,68
24406,Legacy of the Master Release Event Cards,OP12 RE,False,2025-08-15T00:00:00,2025-08-15T13:27:08.743,68
24241,A Fist of Divine Speed,OP11,False,2025-06-06T00:00:00,2025-09-02T20:23:23.34,68
24282,Starter Deck 23: RED Shanks,ST-23,False,2025-06-06T00:00:00,2025-09-30T14:07:54.38,68
24283,Starter Deck 24: GREEN Jewelry Bonney,ST-24,False,2025-06-06T00:00:00,2025-05-30T15:10:40.92,68
24284,Starter Deck 25: BLUE Buggy,ST-25,False,2025-06-06T00:00:00,2025-05-30T14:34:09.317,68
24285,Starter Deck 26: PURPLE/BLACK Monkey.D.Luffy,ST-26,False,2025-06-06T00:00:00,2025-05-29T16:08:44.263,68
24286,Starter Deck 27: BLACK Marshall.D.Teach,ST-27,False,2025-06-06T00:00:00,2025-05-29T16:08:13.923,68
24287,Starter Deck 28: GREEN/YELLOW Yamato,ST-28,False,2025-06-06T00:00:00,2025-05-30T18:44:10.123,68
24242,A Fist of Divine Speed Release Event Cards,OP11 RE,False,2025-05-30T00:00:00,2025-06-10T18:38:30.397,68
23834,Extra Booster: Anime 25th Collection,EB-02,False,2025-05-09T00:00:00,2025-07-29T17:07:28.79,68
23766,Royal Blood,OP10,False,2025-03-21T00:00:00,2025-09-26T18:25:56.233,68
24068,Royal Blood Release Event Cards,OP10 RE,False,2025-03-14T00:00:00,2025-05-01T18:12:19.65,68
23991,Starter Deck EX: Gear 5,ST21,False,2025-03-14T00:00:00,2025-07-10T18:56:11.507,68
23589,Emperors in the New World,OP09,False,2024-12-13T00:00:00,2025-09-26T18:06:25.63,68
23590,Emperors in the New World: 2nd Anniversary Tournament Cards,OP09 ANN,False,2024-12-06T00:00:00,2025-04-10T14:29:58.003,68
23907,One Piece Demo Deck Cards,OPDD,False,2024-12-05T00:00:00,2025-05-01T18:11:26.62,68
23890,Revision Pack Cards,OPRP,False,2024-11-26T00:00:00,2025-09-29T14:23:22.49,68
23496,Premium Booster -The Best-,PRB-01,False,2024-11-08T00:00:00,2025-09-26T19:19:38.213,68
23490,Starter Deck 15: RED Edward.Newgate,ST-15,False,2024-10-25T00:00:00,2025-04-10T14:32:54.66,68
23491,Starter Deck 16: GREEN Uta,ST-16,False,2024-10-25T00:00:00,2025-06-06T14:52:27.32,68
23492,Starter Deck 17: BLUE Donquixote Doflamingo,ST-17,False,2024-10-25T00:00:00,2025-09-26T15:23:11.403,68
23493,Starter Deck 18: PURPLE Monkey.D.Luffy,ST-18,False,2024-10-25T00:00:00,2024-11-04T20:27:35.84,68
23494,Starter Deck 19: BLACK Smoker,ST-19,False,2024-10-25T00:00:00,2024-11-04T20:29:52.62,68
